hashname,20250413_PClicks_NoisyGRU_final2_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_output_nonlinearity,_heldin_size,_heldout_size,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion,_alpha,_vf_hidden_size,_vf_num_layers,state_r2,rate_r2,co-bps,cycle_con
2108a045,256,500,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7038118839263916,0.47423309087753296,0.10072556138038635,0.9946427941322327
1d4cc959,512,500,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.823108434677124,0.6729239821434021,0.1446382850408554,0.9993360042572021
1d4cc959,512,500,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.823108434677124,0.6729239821434021,0.1446382850408554,0.9993360042572021
b6189ca3,32,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.9014847278594971,0.7902904748916626,0.1653182953596115,0.998811662197113
b6189ca3,32,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.9014847278594971,0.7902904748916626,0.1653182953596115,0.998811662197113
3f93dbf0,64,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.79901522397995,0.408674031496048,0.08292016386985779,0.9973785281181335
3f93dbf0,64,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.79901522397995,0.408674031496048,0.08292016386985779,0.9973785281181335
3fb5b686,128,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7257809042930603,0.4739474058151245,0.09852191805839539,0.9897852540016174
3fb5b686,128,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7257809042930603,0.4739474058151245,0.09852191805839539,0.9897852540016174
8f46fe6d,256,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.8099551796913147,0.7286845445632935,0.15311729907989502,0.9959821105003357
8f46fe6d,256,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.8099551796913147,0.7286845445632935,0.15311729907989502,0.9959821105003357
2ce0f713,512,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.8170150518417358,0.6756421327590942,0.14473141729831696,0.9993606209754944
2ce0f713,512,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.8170150518417358,0.6756421327590942,0.14473141729831696,0.9993606209754944
2102ad75,32,501,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.905073344707489,0.7919945120811462,0.16561923921108246,0.9988064765930176
2102ad75,32,501,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.905073344707489,0.7919945120811462,0.16561923921108246,0.9988064765930176
c142fbce,64,501,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.791949987411499,0.4073241949081421,0.08263663202524185,0.9974036812782288
c142fbce,64,501,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.791949987411499,0.4073241949081421,0.08263663202524185,0.9974036812782288
b8bcd830,128,501,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7245465517044067,0.47260305285453796,0.09821164608001709,0.9897809028625488
b8bcd830,128,501,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7245465517044067,0.47260305285453796,0.09821164608001709,0.9897809028625488
1252e030,256,501,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.8104729056358337,0.7282781600952148,0.15304139256477356,0.9959819316864014
1252e030,256,501,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.8104729056358337,0.7282781600952148,0.15304139256477356,0.9959819316864014
6113c2a1,512,501,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.8169446587562561,0.6749809384346008,0.14458659291267395,0.9993598461151123
6113c2a1,512,501,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.8169446587562561,0.6749809384346008,0.14458659291267395,0.9993598461151123
d4c93c2c,128,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,,,,0.7932630777359009,0.5233475565910339,0.10729087889194489,0.9972323179244995
6cd9fb81,256,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,,,,0.8046620488166809,0.6606522798538208,0.1398250311613083,0.9948041439056396
