hashname,model,20250407_PC_NODE_grid_final_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_output_nonlinearity,_heldin_size,_heldout_size,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion,_alpha,_vf_hidden_size,_vf_num_layers,state_r2,rate_r2,co-bps,cycle_con
139f0ce9,gnode,5,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9804762005805968,0.9987450242042542,0.2740019261837005,0.9998313188552856
bc117a87,gnode,2,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9861538410186768,0.999436378479004,0.2740353345870971,1.0
bd5f9f30,gnode,10,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9771947264671326,0.9990947246551514,0.2740806341171264,0.9978119730949402
17674d60,gnode,2,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.98545503616333,0.998738408088684,0.2739388346672058,1.0
17674d60,gnode,2,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.98545503616333,0.998738408088684,0.2739388346672058,1.0
1a48ba60,gnode,3,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9804343581199646,0.9985167980194092,0.2738937139511108,0.9999660849571228
1a48ba60,gnode,3,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9804343581199646,0.9985167980194092,0.2738937139511108,0.9999660849571228
5ed71445,gnode,5,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.979843020439148,0.9984191656112672,0.2738855183124542,0.9998423457145692
c5437787,gnode,10,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9766390919685364,0.9982017278671264,0.2739157378673553,0.9978435039520264
5ed71445,gnode,5,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.979843020439148,0.9984191656112672,0.2738855183124542,0.9998423457145692
c5437787,gnode,10,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9766390919685364,0.9982017278671264,0.2739157378673553,0.9978435039520264
685fd0ab,gnode,32,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9014307856559752,0.996687114238739,0.2736950218677521,0.8563026189804077
