hashname,model,_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_vf_hidden_size,_vf_num_layers,_output_nonlinearity,_heldin_size,_heldout_size,_alpha,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion,state_r2,rate_r2,co-bps,cycle_con
fc849e05,gru,32,500,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,poisson,1.0,0.6542074680328369,0.6208186745643616,0.1703412681818008,0.996240258216858
57169a92,gru,64,500,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,poisson,1.0,0.8232885003089905,0.751800537109375,0.2067742198705673,0.9947300553321838
57169a92,gru,64,500,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,poisson,1.0,0.8232885003089905,0.751800537109375,0.2067742198705673,0.9947300553321838
7f4a0dca,gru,128,500,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,poisson,1.0,0.7711984515190125,0.6825793981552124,0.1924112439155578,0.9980855584144592
7f4a0dca,gru,128,500,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,poisson,1.0,0.7711984515190125,0.6825793981552124,0.1924112439155578,0.9980855584144592
4a30d451,gru,256,500,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,poisson,1.0,0.7976771593093872,0.7530490756034851,0.2101702988147735,0.999412477016449
4a30d451,gru,256,500,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,poisson,1.0,0.7976771593093872,0.7530490756034851,0.2101702988147735,0.999412477016449
3aaf083a,gru,512,500,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,poisson,1.0,0.6699446439743042,0.5816826820373535,0.1425351649522781,0.9995508193969728
3aaf083a,gru,512,500,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,poisson,1.0,0.6699446439743042,0.5816826820373535,0.1425351649522781,0.9995508193969728
fdb85e91,gru,32,501,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.5493648648262024,0.5730786323547363,0.1574131995439529,0.9971575140953064
fdb85e91,gru,32,501,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.5493648648262024,0.5730786323547363,0.1574131995439529,0.9971575140953064
672cee54,gru,64,501,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.8264951705932617,0.7476903796195984,0.2060827910900116,0.9947128891944884
672cee54,gru,64,501,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.8264951705932617,0.7476903796195984,0.2060827910900116,0.9947128891944884
946eb608,gru,128,501,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.832176148891449,0.766046404838562,0.2105313092470169,0.9981821179389954
946eb608,gru,128,501,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.832176148891449,0.766046404838562,0.2105313092470169,0.9981821179389954
f561fd9e,gru,256,501,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.843464195728302,0.7890853881835938,0.2203554809093475,0.999424695968628
f561fd9e,gru,256,501,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.843464195728302,0.7890853881835938,0.2203554809093475,0.999424695968628
1bf19918,gru,512,501,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.7638156414031982,0.6108601093292236,0.1761218309402465,0.9996432065963744
1bf19918,gru,512,501,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.7638156414031982,0.6108601093292236,0.1761218309402465,0.9996432065963744
9e2e31fe,gru,32,501,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,poisson,1.0,0.5506749749183655,0.577904224395752,0.1583350002765655,0.9971303343772888
9e2e31fe,gru,32,501,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,poisson,1.0,0.5506749749183655,0.577904224395752,0.1583350002765655,0.9971303343772888
ece98f7b,gru,64,501,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,poisson,1.0,0.8240475058555603,0.7467691898345947,0.2056985795497894,0.994718074798584
ece98f7b,gru,64,501,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,poisson,1.0,0.8240475058555603,0.7467691898345947,0.2056985795497894,0.994718074798584
021612fc,gru,128,501,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,poisson,1.0,0.8332494497299194,0.766586422920227,0.2108179926872253,0.9981858134269714
021612fc,gru,128,501,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,poisson,1.0,0.8332494497299194,0.766586422920227,0.2108179926872253,0.9981858134269714
e60b5326,gru,256,501,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,poisson,1.0,0.8430976271629333,0.788712203502655,0.2202235758304596,0.99942547082901
e60b5326,gru,256,501,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,poisson,1.0,0.8430976271629333,0.788712203502655,0.2202235758304596,0.99942547082901
1221f4a0,gru,512,501,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,poisson,1.0,0.7660665512084961,0.6052273511886597,0.1755322068929672,0.9996402859687804
1221f4a0,gru,512,501,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,poisson,1.0,0.7660665512084961,0.6052273511886597,0.1755322068929672,0.9996402859687804
b0c84d10,gru,128,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.7655442953109741,0.6729120016098022,0.189921036362648,0.9980708360671996
fc849e05,gru,32,500,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,poisson,1.0,0.6542074680328369,0.6208186745643616,0.1703412681818008,0.996240258216858
667d6c05,gru,256,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.8118053078651428,0.7637279033660889,0.2139040231704712,0.9994149208068848
9d8418cd,gru,64,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.8293372988700867,0.7534361481666565,0.2073665112257003,0.9946629405021667
b0c84d10,gru,128,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.7655442953109741,0.6729120016098022,0.189921036362648,0.9980708360671996
fc849e05,gru,32,500,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,poisson,1.0,0.6542074680328369,0.6208186745643616,0.1703412681818008,0.996240258216858
bb6d13e5,gru,512,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.6683540344238281,0.5797573924064636,0.142008751630783,0.9995513558387756
667d6c05,gru,256,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.8118053078651428,0.7637279033660889,0.2139040231704712,0.9994149208068848
10fd576c,gru,32,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.6528865694999695,0.6200821399688721,0.1701241880655288,0.9962494373321532
9d8418cd,gru,64,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.8293372988700867,0.7534361481666565,0.2073665112257003,0.9946629405021667
bb6d13e5,gru,512,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.6683540344238281,0.5797573924064636,0.142008751630783,0.9995513558387756
10fd576c,gru,32,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.6528865694999695,0.6200821399688721,0.1701241880655288,0.9962494373321532
57169a92,gru,64,500,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,poisson,1.0,0.8232885003089905,0.751800537109375,0.2067742198705673,0.9947300553321838
57169a92,gru,64,500,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,poisson,1.0,0.8232885003089905,0.751800537109375,0.2067742198705673,0.9947300553321838
7f4a0dca,gru,128,500,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,poisson,1.0,0.7711984515190125,0.6825793981552124,0.1924112439155578,0.9980855584144592
