Model_Type,Model_Label,Hash_Value,DMD:0,DMD:1,Architecture,Latent_Size,Is_True_Model,DMD:0_3D,DMD:1_3D,DMD:2_3D
gru,gru_2_141ebfef,141ebfef,-0.09071301644761558,0.3190811662388889,gru,2,False,-0.2189085330751169,-0.47978248365794784,0.4141493342439346
gru,gru_2_6cd9fb81,6cd9fb81,-0.4005405829355014,-0.3592039534675384,gru,2,False,-0.31440556511649614,0.3782528850081761,0.4653526296500388
gru,gru_2_c89d03ff,c89d03ff,0.47011292848762726,-0.38458764687089475,gru,2,False,0.4959890385398091,0.09288800044150029,0.4524661791106024
gru,gru_2_1c2b2641,1c2b2641,-0.4559879552837883,-0.43720356275730565,gru,2,False,-0.5927454632740083,-0.07130616921104935,0.3202383124600487
gru,gru_2_141ebfef,141ebfef,0.2582627435091193,0.2491131616921902,gru,2,False,0.4778115304173277,-0.46272148668926566,0.11708152487749315
gru,gru_2_6cd9fb81,6cd9fb81,-0.2555596182645142,0.41562042590997744,gru,2,False,0.17019040036135333,0.4982827140097551,0.4180316131231398
gru,gru_2_c89d03ff,c89d03ff,-0.15817415795522335,-0.27041538517780705,gru,2,False,-0.2618485316403803,0.6236434567044377,0.039091273208626064
gru,gru_2_1252e030,1252e030,0.12763910897745423,0.45692452315299625,gru,2,False,-0.013312914845561338,0.6035826318630862,0.3009054778303574
gru,gru_2_2108a045,2108a045,-0.1375908382234644,0.4694098790714066,gru,2,False,-0.6307472590573309,-0.1974341572943391,-0.137607231580376
gru,gru_2_efe15f6a,efe15f6a,0.1297446332119088,-0.28903021545740265,gru,2,False,0.5610774342834739,0.007767718313606757,-0.3746377544736337
gru,gru_2_6113c2a1,6113c2a1,0.3414378432986693,-0.19802654504588388,gru,2,False,0.3348490110574814,0.4410549452218824,-0.3859705962215897
gru,gru_2_8f46fe6d,8f46fe6d,0.17527587759343266,0.4815041018052893,gru,2,False,-0.02513432910940114,0.6680041998504235,-0.0969499681259053
gru,gru_2_2ce0f713,2ce0f713,-0.012788498221873796,-0.30052022348113566,gru,2,False,-0.29818998346918196,0.5983149430191521,-0.13365189725889087
