Model_Type,Model_Label,Hash_Value,DMD:0,DMD:1,Architecture,Latent_Size,Is_True_Model
fr,fr_2_95e869f5,95e869f5,-0.1945506927881186,0.6652015928261741,fr,2,False
fr,fr_2_9cfa68af,9cfa68af,-0.42790809822383036,0.6064696228169295,fr,2,False
fr,fr_2_59aafcad,59aafcad,-0.506533538690429,0.09300452072011905,fr,2,False
fr,fr_2_51898186,51898186,-0.35494357223352946,-0.4577997917154072,fr,2,False
fr,fr_2_9fe0af8f,9fe0af8f,0.5269110953024524,0.47692071976880857,fr,2,False
fr,fr_2_599d7410,599d7410,-0.13658536796180543,-0.47058782540916144,fr,2,False
fr,fr_2_39ca03fc,39ca03fc,0.4424191024721184,0.18213269382310748,fr,2,False
fr,fr_2_5e371ba8,5e371ba8,-0.4522540438174409,0.31483461760691456,fr,2,False
fr,fr_2_83df3de8,83df3de8,0.30888731808365033,-0.4084028604733824,fr,2,False
fr,fr_2_a50396c9,a50396c9,0.4931130595765394,-0.1284162519602351,fr,2,False
fr,fr_2_73cbffdb,73cbffdb,-0.12607347661416443,-0.3066641363259711,fr,2,False
fr,fr_2_306365d9,306365d9,0.6629432011820706,-0.24238147724456205,fr,2,False
