hashname,20250407_PC_NODE_grid_final_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_output_nonlinearity,_heldin_size,_heldout_size,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion,_alpha,_vf_hidden_size,_vf_num_layers,state_r2,rate_r2,co-bps,cycle_con
5ed71445,5,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.979843020439148,0.9984191656112671,0.2738855183124542,0.9998423457145691
c5437787,10,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9766390919685364,0.9982017278671265,0.27391573786735535,0.9978435039520264
685fd0ab,32,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9014307856559753,0.996687114238739,0.2736950218677521,0.8563026189804077
685fd0ab,32,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9014307856559753,0.996687114238739,0.2736950218677521,0.8563026189804077
da23dded,64,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.724591851234436,0.9945882558822632,0.27341723442077637,0.8312154412269592
da23dded,64,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.724591851234436,0.9945882558822632,0.27341723442077637,0.8312154412269592
0346e5e1,256,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6674314141273499,0.590938925743103,0.15078073740005493,0.9992705583572388
6b3531ea,32,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7525493502616882,0.4209744930267334,0.10167548805475235,0.9980400800704956
d77eca26,128,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6688188910484314,0.5308244228363037,0.13076156377792358,0.9985702633857727
cb262021,32,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7518059611320496,0.42094001173973083,0.1016891673207283,0.9980490207672119
5d21cdb9,512,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.9179543852806091,0.8313489556312561,0.22393614053726196,0.9853476285934448
226a1496,64,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6935294270515442,0.46096938848495483,0.11327335238456726,0.9958010911941528
6b3531ea,32,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7525493502616882,0.4209744930267334,0.10167548805475235,0.9980400800704956
0346e5e1,256,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6674314141273499,0.590938925743103,0.15078073740005493,0.9992705583572388
d77eca26,128,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6688188910484314,0.5308244228363037,0.13076156377792358,0.9985702633857727
cb262021,32,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7518059611320496,0.42094001173973083,0.1016891673207283,0.9980490207672119
5d21cdb9,512,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.9179543852806091,0.8313489556312561,0.22393614053726196,0.9853476285934448
226a1496,64,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6935294270515442,0.46096938848495483,0.11327335238456726,0.9958010911941528
8db5b72f,64,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6922239661216736,0.4605668783187866,0.11319480091333389,0.9958118796348572
8db5b72f,64,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6922239661216736,0.4605668783187866,0.11319480091333389,0.9958118796348572
3a31f388,128,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6683812141418457,0.5303843021392822,0.13066259026527405,0.9985700845718384
3a31f388,128,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6683812141418457,0.5303843021392822,0.13066259026527405,0.9985700845718384
9123938b,256,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6673657298088074,0.591010332107544,0.15080347657203674,0.9992709159851074
9123938b,256,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6673657298088074,0.591010332107544,0.15080347657203674,0.9992709159851074
491f4d12,512,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.9179583787918091,0.8313596844673157,0.22393880784511566,0.9853484034538269
491f4d12,512,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.9179583787918091,0.8313596844673157,0.22393880784511566,0.9853484034538269
5db28766,32,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.748973548412323,0.42188259959220886,0.10189797729253769,0.9980654716491699
5db28766,32,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.748973548412323,0.42188259959220886,0.10189797729253769,0.9980654716491699
ab17c719,64,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.5642573237419128,0.34329476952552795,0.08418246358633041,0.9952634572982788
ab17c719,64,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.5642573237419128,0.34329476952552795,0.08418246358633041,0.9952634572982788
91466bac,128,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6771126985549927,0.5315623879432678,0.1307443380355835,0.9985306859016418
91466bac,128,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6771126985549927,0.5315623879432678,0.1307443380355835,0.9985306859016418
